Frases
Yo NUNCA, NUNCA he besado a un papá/mamá de un amig@
Yo NUNCA, NUNCA he sido arrestado por faltas a la moral.
Yo NUNCA, NUNCA he trabajado borracho.
 Yo NUNCA, NUNCA he consumido drogas
 Yo NUNCA, NUNCA he hecho o recibido un baile erótico.
 Yo NUNCA, NUNCA he dicho el nombre equivocado durante el sexo.
 Yo NUNCA, NUNCA he tenido sexo/faje con nadie de mi familia.
 Yo NUNCA, NUNCA he tenido sexo/faje con alguien que me doblaba la edad.
 Yo NUNCA, NUNCA he hecho un trío.
 Yo NUNCA, NUNCA  me salté clases para ir a echar pasión.
 Yo NUNCA, NUNCA salí con más de 3 morr@s en plan de ligue durante la misma semana sin que ellos se enteraran.
 Yo NUNCA, NUNCA salí con 2 ligues el mismo día.
 Yo NUNCA, NUNCA me he/han masturbado al aire libre.
 Yo NUNCA, NUNCA he tenido relaciones en un salón de clases.
 Yo NUNCA, NUNCA he sido infiel.
 Yo NUNCA, NUNCA he tenido sexo con alguien este grupo.
 Yo NUNCA, NUNCA  he mentido en el Yo NUNCA, NUNCA.
 Yo NUNCA, NUNCA  he tenido sexo/faje con algun ex de un amig@.
 Yo NUNCA, NUNCA he mandado nudes recicladas porque me daba flojera tomar nuevas.
 Yo NUNCA, NUNCA  lo he hecho en un sitio público.
 Yo NUNCA, NUNCA me he salido de mi casa en la noche sin que se den cuenta.
 Yo NUNCA, NUNCA me he sentido atraído por alguien de este grupo.
 Yo NUNCA, NUNCA me he grabado o tomado una foto teniendo sexo.
 Yo NUNCA, NUNCA he tenido sexo con alguien que acababa de conocer.
 Yo NUNCA, NUNCA me he sentido atraído por una persona mayor de 40.
 Yo NUNCA, NUNCA nunca he hablado mal de una persona de este grupo.
 Yo NUNCA, NUNCA he usado juguetes sexuales con mi pareja.
 Yo NUNCA, NUNCA he tenido una relación abierta con mi pareja.
 Yo NUNCA, NUNCA he vomitado en público después de tomar.
 Yo NUNCA, NUNCA me he vestido con ropa del sexo opuesto.
 Yo NUNCA, NUNCA he encontrado a mis padres teniendo sexo.
 Yo NUNCA, NUNCA he tenido sexo con un/una EX.
 Yo NUNCA, NUNCA he besado a alguien sin saber su nombre.
 Yo NUNCA, NUNCA he tenido que huir de la policía.
 Yo NUNCA, NUNCA nunca he jugado al streap poker.
 Yo NUNCA, NUNCA  he tenido sexo en la cama de mis padres.
 Yo NUNCA, NUNCA me he acostado con dos personas el mismo día.
